iter	Passed	Remaining
372	351517	119685
373	352866	118880
374	354172	118057
375	354190	116807
376	354257	115580
377	354349	114366
378	354602	113210
379	355126	112145
380	356564	111368
381	357919	110561
382	357974	109355
383	359369	108559
384	360761	107760
385	360837	106568
386	360931	105388
387	362316	104586
388	363662	103770
389	364971	102940
390	365015	101756
391	366181	100886
392	366375	99751
393	366550	98615
394	368001	97823
395	368027	96653
396	368613	95635
397	369184	94615
398	369477	93526
399	369508	92377
400	369573	91241
401	369726	90132
402	371144	89332
403	371188	88203
404	372658	87413
405	372806	86314
406	372852	85197
407	374230	84385
408	375752	83602
409	375798	82492
410	375833	81384
411	377206	80568
412	377230	79465
413	378313	78586
414	379381	77704
415	379408	76611
416	379440	75524
417	380882	74718
418	380927	73639
419	382288	72816
420	383623	71986
421	383863	70951
422	385283	70134
423	386732	69320
424	388162	68499
425	388256	67443
426	389636	66612
427	389652	65549
428	391115	64730
429	392535	63901
430	394010	63078
431	394301	62066
432	395761	61237
433	396843	60349
434	396877	59303
435	398229	58455
436	399564	57603
437	401020	56765
438	401525	55792
439	402916	54943
440	404320	54092
441	405797	53249
442	407191	52392
443	408608	51536
444	408705	50514
445	410075	49650
446	411574	48799
447	411828	47801
448	411924	46788
449	411996	45777
450	413377	44912
451	414763	44045
452	414788	43035
453	414841	42032
454	414905	41034
455	416360	40175
456	416396	39179
457	416540	38198
458	416573	37210
459	417940	36342
460	418036	35365
461	418132	34391
462	419583	33530
463	421063	32668
464	422459	31798
465	422526	30828
466	423612	29934
467	425029	29061
468	426464	28188
469	427869	27310
470	429282	26431
471	430715	25550
472	431771	24646
473	433215	23762
474	433756	22829
475	435181	21941
476	435351	20991
477	435427	20040
478	436519	19137
479	436545	18189
480	436796	17253
481	438276	16367
482	438323	15427
483	438414	14493
484	438439	13559
485	439903	12672
486	441372	11782
487	442396	10878
488	442417	9952
489	442450	9029
490	442511	8111
491	443059	7204
492	444533	6311
493	444559	5399
494	444655	4491
495	444692	3586
496	446123	2692
497	446168	1791
498	447548	896
499	447564	0
